Name,Type,Description,Comments,Set ID,Carbon,Nitrogen
1,Sample,,,1,44.70%,3.44%
1,Sample,,,1,44.60%,3.36%
2,Sample,,,2,44.90%,3.18%
2,Sample,,,2,44.60%,3.13%
3,Sample,,,3,41.40%,3.38%
3,Sample,,,3,43.30%,3.53%
4,Sample,,,4,44.40%,3.68%
4,Sample,,,4,44.50%,3.67%
5,Sample,,,5,44.30%,2.83%
5,Sample,,,5,44.20%,2.84%
6,Sample,,,6,44.30%,3.13%
6,Sample,,,6,44.30%,3.12%
7,Sample,,,7,44.70%,3.20%
7,Sample,,,7,44.20%,3.15%
8,Sample,,,8,43.80%,3.58%
8,Sample,,,8,44.20%,3.61%
9,Sample,,,9,44.50%,3.21%
9,Sample,,,9,44.80%,3.22%
10,Sample,,,10,44.40%,2.53%
11,Sample,,,11,45.00%,3.22%
11,Sample,,,11,44.90%,3.20%
12,Sample,,,12,44.70%,3.31%
12,Sample,,,12,44.70%,3.33%
13,Sample,,,13,44.30%,2.90%
13,Sample,,,13,44.30%,2.91%
14,Sample,,,14,44.00%,3.48%
14,Sample,,,14,44.40%,3.53%
15,Sample,,,15,44.50%,3.18%
15,Sample,,,15,44.70%,3.19%
16,Sample,Shoots,116,16,45.80%,3.38%
16,Sample,Shoots,116,16,44.90%,3.33%
17,Sample,Shoots,113,17,44.50%,2.79%
17,Sample,Shoots,113,17,44.50%,2.80%
18,Sample,Shoots,111,18,44.00%,3.09%
18,Sample,Shoots,111,18,44.60%,3.10%
19,Sample,Shoots,214,19,44.10%,3.41%
19,Sample,Shoots,214,19,44.00%,3.40%
21,Sample,Shoots,321,21,45.00%,3.20%
21,Sample,Shoots,321,21,45.00%,3.20%
22,Sample,Shoots,115,22,44.80%,3.25%
22,Sample,Shoots,115,22,44.70%,3.24%
23,Sample,Shoots,212,23,45.30%,3.06%
23,Sample,Shoots,212,23,45.30%,3.05%
24,Sample,Shoots,215,24,44.60%,3.30%
24,Sample,Shoots,215,24,44.50%,3.31%
25,Sample,Shoots,325,25,44.80%,3.32%
25,Sample,Shoots,325,25,44.80%,3.32%
26,Sample,Shoots,122,26,45.10%,3.31%
26,Sample,Shoots,122,26,45.10%,3.30%
27,Sample,Shoots,225,27,44.40%,3.38%
27,Sample,Shoots,225,27,44.60%,3.38%
28,Sample,Shoots,223,28,44.30%,3.57%
28,Sample,Shoots,223,28,44.50%,3.59%
29,Sample,Shoots,326,29,45.20%,3.19%
29,Sample,Shoots,326,29,45.10%,3.19%
30,Sample,Shoots,ARDEC,30,45.00%,2.57%
31,Sample,Shoots,,31,44.70%,3.40%
31,Sample,Shoots,,31,44.60%,3.43%
32,Sample,Shoots,,32,44.90%,3.11%
32,Sample,Shoots,,32,44.70%,3.14%
33,Sample,Shoots,,33,44.20%,3.19%
33,Sample,Shoots,,33,44.20%,3.19%
34,Sample,Shoots,,34,44.90%,3.46%
34,Sample,Shoots,,34,44.90%,3.45%
35,Sample,Shoots,,35,44.20%,3.40%
35,Sample,Shoots,,35,44.10%,3.47%
36,Sample,Shoots,,36,44.60%,2.47%
36,Sample,Shoots,,36,44.70%,2.47%
37,Sample,Shoots,,37,44.70%,3.54%
37,Sample,Shoots,,37,43.40%,3.53%
38,Sample,Shoots,,38,45.00%,3.22%
38,Sample,Shoots,,38,46.10%,3.31%
39,Sample,Shoots,,39,43.20%,2.25%
39,Sample,Shoots,,39,43.30%,2.27%
41,Sample,Shoots,121,41,43.50%,2.34%
41,Sample,Shoots,121,41,43.40%,2.33%
42,Sample,Shoots,116,42,43.40%,2.47%
42,Sample,Shoots,116,42,43.60%,2.48%
43,Sample,Shoots,314,43,44.10%,2.47%
43,Sample,Shoots,314,43,43.90%,2.44%
44,Sample,Shoots,316,44,43.40%,2.23%
44,Sample,Shoots,316,44,43.60%,2.23%
45,Sample,Shoots,322,45,43.30%,2.23%
45,Sample,Shoots,322,45,43.10%,2.39%
46,Sample,Shoots,323,46,43.30%,2.70%
46,Sample,Shoots,323,46,43.40%,2.68%
47,Sample,Shoots,315,47,43.80%,2.50%
47,Sample,Shoots,315,47,43.90%,2.53%
48,Sample,Shoots,313,48,43.90%,2.45%
48,Sample,Shoots,313,48,43.80%,2.45%
49,Sample,Shoots,124,49,43.40%,2.45%
50,Sample,Shoots,ARDEC,50,44.90%,2.65%
51,Sample,Shoots,126,51,43.70%,2.55%
51,Sample,Shoots,126,51,43.60%,2.54%
52,Sample,Shoots,222,52,43.80%,2.37%
52,Sample,Shoots,222,52,43.90%,2.40%
53,Sample,Shoots,215,53,42.90%,2.33%
53,Sample,Shoots,215,53,43.10%,2.34%
54,Sample,Shoots,326,54,43.50%,2.35%
54,Sample,Shoots,326,54,43.70%,2.39%
55,Sample,Shoots,112,55,43.10%,2.36%
55,Sample,Shoots,112,55,43.30%,2.35%
56,Sample,Shoots,114,56,43.30%,2.29%
56,Sample,Shoots,114,56,43.30%,2.26%
57,Sample,Shoots,113,57,43.60%,2.53%
57,Sample,Shoots,113,57,43.60%,2.50%
58,Sample,Shoots,225,58,43.20%,2.65%
58,Sample,Shoots,225,58,43.20%,2.66%
59,Sample,Shoots,226,59,43.70%,2.21%
59,Sample,Shoots,226,59,43.70%,2.20%
60,Sample,Shoots,ARDEC,60,45.20%,2.68%
61,Sample,Shoots,125,61,43.6,2.47
61,Sample,Shoots,125,61,43.6,2.48
62,Sample,Shoots,115,62,43.2,2.24
62,Sample,Shoots,115,62,43.2,2.22
63,Sample,Shoots,224,63,43.4,2.44
63,Sample,Shoots,224,63,43.3,2.44
64,Sample,Shoots,212,64,44.2,2.64
64,Sample,Shoots,212,64,43.3,2.57
65,Sample,Shoots,321,65,43.7,2.57
65,Sample,Shoots,321,65,44,2.62
66,Sample,Shoots,311,66,43.5,2.36
66,Sample,Shoots,311,66,43.7,2.38
67,Sample,Shoots,214,67,43.6,2.52
67,Sample,Shoots,214,67,43.5,2.5
68,Sample,Shoots,223,68,43.1,2.52
68,Sample,Shoots,223,68,43.5,2.51
69,Sample,Shoots,312,69,43.3,2.29
69,Sample,Shoots,312,69,43.4,2.28
70,Sample,Shoots,ARDEC,70,43.30%,2.27%
701,Blank,,Blank,701,-0.02%,0.01%
71,Sample,Shoots,216,71,43.60%,2.30%
71,Sample,Shoots,216,71,43.50%,2.29%
72,Sample,Shoots,221,72,96.30%,4.91%
72,Sample,Shoots,221,72,43.20%,2.30%
73,Sample,Shoots,211,73,44.10%,2.34%
73,Sample,Shoots,211,73,44.00%,2.51%
74,Sample,Shoots,324,74,43.70%,2.58%
74,Sample,Shoots,324,74,43.40%,2.54%
75,Sample,Shoots,123,75,43.80%,2.62%
75,Sample,Shoots,123,75,43.70%,2.69%
76,Sample,Shoots,325,76,43.20%,2.14%
76,Sample,Shoots,325,76,43.00%,2.14%
77,Sample,Shoots,213,77,43.00%,2.39%
77,Sample,Shoots,213,77,43.10%,2.41%
78,Sample,Shoots,122,78,43.10%,2.52%
78,Sample,Shoots,122,78,43.10%,2.52%
79,Sample,Stalk,315,79,45.00%,0.41%
79,Sample,Stalk,315,79,44.60%,0.41%
80,Sample,Shoots,ARDEC,80,44.70%,2.57%
81,Sample,Stalk,323,81,44.30%,0.35%
81,Sample,Stalk,323,81,44.50%,0.35%
82,Sample,Stalk,314,82,44.40%,0.31%
83,Sample,,,83,0.4445,0.0033
84,Sample,Stalk,223,84,44.30%,0.37%
84,Sample,Stalk,223,84,44.40%,0.34%
85,Sample,Stalk,212,85,43.80%,0.27%
85,Sample,Stalk,212,85,43.80%,0.26%
86,Sample,Stalk,211,86,43.00%,0.29%
86,Sample,Stalk,211,86,43.60%,0.31%
87,Sample,Stalk,325,87,44.40%,0.37%
87,Sample,Stalk,325,87,44.50%,0.38%
88,Sample,Stalk,312,88,44.50%,0.33%
88,Sample,Stalk,312,88,44.40%,0.33%
89,Sample,Stalk,324,89,44.10%,0.35%
89,Sample,Stalk,324,89,44.20%,0.34%
90,Sample,Stalk,ARDEC,90,44.50%,2.53%
91,Sample,Stalk,215,91,44.80%,0.32%
91,Sample,Stalk,215,91,44.90%,0.31%
92,Sample,Stalk,311,92,43.50%,0.28%
92,Sample,Stalk,311,92,43.30%,0.28%
93,Sample,Stalk,322,93,44.60%,0.32%
93,Sample,Stalk,322,93,44.40%,0.31%
94,Sample,Stalk,313,94,44.40%,0.30%
94,Sample,Stalk,313,94,44.60%,0.30%
95,Sample,Stalk,216,95,45.10%,0.47%
95,Sample,Stalk,216,95,44.90%,0.48%
96,Sample,Stalk,121,96,43.20%,0.31%
96,Sample,Stalk,121,96,43.50%,0.31%
97,Sample,Stalk,326,97,43.80%,1.04%
97,Sample,Stalk,326,97,43.80%,1.02%
98,Sample,Stalk,221,98,44.00%,0.27%
98,Sample,Stalk,221,98,43.90%,0.27%
99,Sample,Stalk,124,99,44.50%,0.40%
99,Sample,Stalk,124,99,44.60%,0.38%
100,Sample,Stalk,ARDEC,100,44.90%,2.55%
101,Sample,Stalk,226,101,44.70%,0.65%
101,Sample,Stalk,226,101,44.90%,0.63%
102,Sample,Stalk,122,102,44.40%,0.39%
102,Sample,Stalk,122,102,44.30%,0.40%
103,Sample,Stalk,225,103,44.70%,0.44%
103,Sample,Stalk,225,103,44.50%,0.44%
104,Sample,Stalk,224,104,44.40%,0.47%
104,Sample,Stalk,224,104,44.30%,0.46%
105,Sample,Stalk,126,105,44.70%,0.67%
105,Sample,Stalk,126,105,44.60%,0.69%
106,Sample,Stalk,123,106,43.80%,0.33%
106,Sample,Stalk,123,106,43.60%,0.32%
107,Sample,Stalk,321,107,43.60%,0.24%
107,Sample,Stalk,321,107,43.70%,0.24%
108,Sample,Stalk,116,108,44.40%,0.35%
108,Sample,Stalk,116,108,44.90%,0.35%
109,Sample,Stalk,113,109,43.50%,0.28%
109,Sample,Stalk,113,109,43.60%,0.28%
110,Sample,,ARDEC,110,44.80%,2.50%
111,Sample,Stalk,111,111,42.70%,0.25%
111,Sample,Stalk,111,111,42.50%,0.25%
112,Sample,Stalk,112,112,43.30%,0.22%
112,Sample,Stalk,112,112,43.50%,0.22%
113,Sample,Stalk,214,113,47.50%,0.23%
113,Sample,Stalk,214,113,44.50%,0.23%
114,Sample,Stalk,125,114,43.90%,0.89%
114,Sample,Stalk,125,114,43.80%,0.90%
115,Sample,Stalk,115,115,43.60%,0.32%
115,Sample,Stalk,115,115,43.60%,0.33%
116,Sample,Stalk,213,116,44.80%,0.32%
116,Sample,Stalk,213,116,45.90%,0.32%
117,Sample,Stalk,114,117,41.90%,0.26%
117,Sample,Stalk,114,117,43.50%,0.28%
118,Sample,Stalk,222,118,44.20%,0.25%
118,Sample,Stalk,222,118,44.10%,0.24%
119,Sample,Cob,326,119,46.60%,0.52%
119,Sample,Cob,326,119,46.80%,0.52%
120,Sample,,ARDEC,120,44.70%,2.48%
121,Sample,Cob,324,121,46.70%,0.36%
121,Sample,Cob,324,121,46.80%,0.34%
122,Sample,Cob,316,122,47.10%,0.44%
122,Sample,Cob,316,122,47.30%,0.43%
123,Sample,Cob,312,123,46.60%,0.40%
123,Sample,Cob,312,123,46.50%,0.37%
124,Sample,Cob,314,124,47.20%,0.41%
124,Sample,Cob,314,124,47.10%,0.41%
125,Sample,Cob,322,125,46.10%,0.35%
125,Sample,Cob,322,125,45.90%,0.34%
126,Sample,Cob,315,126,47.20%,0.33%
126,Sample,Cob,315,126,47.70%,0.34%
127,Sample,Cob,122,127,46.90%,0.33%
127,Sample,Cob,122,127,46.80%,0.37%
128,Sample,Cob,311,128,46.50%,0.30%
128,Sample,Cob,311,128,45.90%,0.25%
129,Sample,Cob,215,129,46.60%,0.33%
129,Sample,Cob,215,129,46.80%,0.35%
130,Sample,Cob,ARDEC,130,44.60%,2.52%
131,Sample,Cob,112,131,45.60%,0.34%
131,Sample,Cob,112,131,46.60%,0.36%
132,Sample,Cob,225,132,46.70%,0.48%
132,Sample,Cob,225,132,46.40%,0.46%
133,Sample,Cob,216,133,47.10%,0.42%
133,Sample,Cob,216,133,47.10%,0.39%
134,Sample,Cob,123,134,46.30%,0.42%
134,Sample,Cob,123,134,46.30%,0.40%
135,Sample,Cob,211,135,46.70%,0.23%
